Temperature,Ice Cream Sales
-4.662263,41.842986
-4.316559,34.66112
-4.213985,39.383001
-3.949661,37.539845
-3.578554,32.284531
-3.455712,30.001138
-3.10844,22.635401
-3.081303,25.365022
-2.672461,19.22697
-2.652287,20.279679
-2.651498,13.275828
-2.288264,18.123991
-2.11187,11.218294
-1.818938,10.012868
-1.660348,12.615181
-1.326379,10.957731
-1.173123,6.689123
-0.77333,9.392969
-0.673753,5.210163
-0.149635,4.673643
-0.036156,0.328626
-0.033895,0.897603
0.008608,3.1656
0.149245,1.931416
0.688781,2.576782
0.693599,4.625689
0.874905,0.789974
1.024181,2.313806
1.240712,1.292361
1.359813,0.953115
1.74,3.78257
1.850552,4.857988
1.99931,8.943823
2.075101,8.170735
2.318591,7.412094
2.471946,10.336631
2.784836,15.99662
2.83176,12.568237
2.959932,21.342916
3.020874,20.114413
3.211366,22.839406
3.270044,16.983279
3.316073,25.142082
3.335932,26.10474
3.610778,28.912188
3.704057,17.843957
4.130868,34.530743
4.133534,27.698383
4.899032,41.514822
